index,RM,LSTAT,MEDV,Predicted,Residual,Zero-category,Absolute residual,Range
96,6.16,11.34,21.4,22.57,-1.17,Less than 0,1.17,Category 1-2
289,6.56,9.51,24.8,25.79,-0.99,Less than 0,0.99,Category 0-1
456,5.98,19.01,12.7,16.55,-3.85,Less than 0,3.85,Category 3-4
143,5.47,26.42,15.6,9.1,6.5,Greater than 0,6.5,Category 5-7
267,8.3,7.44,50.0,35.83,14.17,Greater than 0,14.17,Greater than 7
253,8.26,3.54,42.8,38.22,4.58,Greater than 0,4.58,Category 4-5
93,6.21,6.21,25.0,26.21,-1.21,Less than 0,1.21,Category 1-2
108,6.47,12.27,19.8,23.51,-3.71,Less than 0,3.71,Category 3-4
95,6.62,6.65,28.4,27.99,0.41,Greater than 0,0.41,Category 0-1
497,5.79,14.1,18.3,18.89,-0.59,Less than 0,0.59,Category 0-1
452,6.3,17.27,16.1,19.31,-3.21,Less than 0,3.21,Category 3-4
328,5.87,9.97,19.3,22.0,-2.7,Less than 0,2.7,Category 2-3
435,6.63,23.27,13.4,16.99,-3.59,Less than 0,3.59,Category 3-4
283,7.92,3.16,50.0,36.79,13.21,Greater than 0,13.21,Greater than 7
476,6.48,18.68,16.7,19.31,-2.61,Less than 0,2.61,Category 2-3
5,6.43,5.21,28.7,27.97,0.73,Greater than 0,0.73,Category 0-1
363,5.8,14.64,16.8,18.58,-1.78,Less than 0,1.78,Category 1-2
243,6.39,5.19,23.7,27.8,-4.1,Less than 0,4.1,Category 4-5
8,5.63,29.93,16.5,7.58,8.92,Greater than 0,8.92,Greater than 7
342,6.54,8.65,16.5,26.24,-9.74,Less than 0,9.74,Greater than 7
181,6.14,9.45,36.2,23.73,12.47,Greater than 0,12.47,Greater than 7
164,5.85,11.64,22.7,20.83,1.87,Greater than 0,1.87,Category 1-2
144,4.9,29.29,11.8,4.37,7.43,Greater than 0,7.43,Greater than 7
329,6.33,7.34,22.6,26.07,-3.47,Less than 0,3.47,Category 3-4
7,6.17,19.15,27.1,17.44,9.66,Greater than 0,9.66,Greater than 7
404,5.53,27.38,8.5,8.78,-0.28,Less than 0,0.28,Category 0-1
331,5.71,12.43,17.1,19.56,-2.46,Less than 0,2.46,Category 2-3
385,5.28,30.81,7.2,5.23,1.97,Greater than 0,1.97,Category 1-2
503,6.98,5.64,23.9,30.41,-6.51,Less than 0,6.51,Category 5-7
309,5.97,9.97,20.3,22.52,-2.22,Less than 0,2.22,Category 2-3
446,6.34,17.79,14.9,19.18,-4.28,Less than 0,4.28,Category 4-5
212,5.81,16.03,22.4,17.68,4.72,Greater than 0,4.72,Category 4-5
80,6.73,5.29,28.0,29.4,-1.4,Less than 0,1.4,Category 1-2
495,5.67,17.6,23.1,15.95,7.15,Greater than 0,7.15,Greater than 7
291,7.15,3.56,37.3,32.65,4.65,Greater than 0,4.65,Category 4-5
218,5.95,17.92,21.5,17.15,4.35,Greater than 0,4.35,Category 4-5
204,8.03,2.88,50.0,37.53,12.47,Greater than 0,12.47,Greater than 7
397,5.75,19.92,8.5,14.8,-6.3,Less than 0,6.3,Category 5-7
304,7.24,6.93,36.1,30.86,5.24,Greater than 0,5.24,Category 5-7
22,6.14,18.72,15.2,17.57,-2.37,Less than 0,2.37,Category 2-3
299,7.04,4.74,29.0,31.34,-2.34,Less than 0,2.34,Category 2-3
72,6.06,5.52,22.8,25.94,-3.14,Less than 0,3.14,Category 3-4
149,5.6,21.45,15.4,13.04,2.36,Greater than 0,2.36,Category 2-3
154,6.13,15.12,17.0,19.89,-2.89,Less than 0,2.89,Category 2-3
128,6.43,15.39,18.0,21.22,-3.22,Less than 0,3.22,Category 3-4
203,7.85,3.81,48.5,36.01,12.49,Greater than 0,12.49,Greater than 7
122,5.96,17.93,20.5,17.19,3.31,Greater than 0,3.31,Category 3-4
348,6.64,5.99,24.5,28.48,-3.98,Less than 0,3.98,Category 3-4
248,6.43,9.52,24.5,25.13,-0.63,Less than 0,0.63,Category 0-1
109,6.23,15.55,19.4,20.11,-0.71,Less than 0,0.71,Category 0-1
77,6.14,10.27,20.8,23.16,-2.36,Less than 0,2.36,Category 2-3
274,6.76,3.53,32.4,30.72,1.68,Greater than 0,1.68,Category 1-2
296,6.55,7.39,27.1,27.12,-0.02,Less than 0,0.02,Category 0-1
502,6.12,9.08,20.6,23.85,-3.25,Less than 0,3.25,Category 3-4
424,5.56,17.16,11.7,15.72,-4.02,Less than 0,4.02,Category 4-5
222,6.88,9.93,27.5,27.08,0.42,Greater than 0,0.42,Category 0-1
392,5.04,25.68,9.7,7.43,2.27,Greater than 0,2.27,Category 2-3
21,5.96,13.83,19.6,19.93,-0.33,Less than 0,0.33,Category 0-1
467,6.0,21.32,19.1,15.15,3.95,Greater than 0,3.95,Category 3-4
468,5.93,18.13,19.1,16.88,2.22,Greater than 0,2.22,Category 2-3
374,4.14,37.97,13.8,-5.21,19.01,Greater than 0,19.01,Greater than 7
334,6.31,6.75,20.7,26.35,-5.65,Less than 0,5.65,Category 5-7
200,7.14,4.45,32.9,32.0,0.9,Greater than 0,0.9,Category 0-1
322,6.04,7.7,20.4,24.37,-3.97,Less than 0,3.97,Category 3-4
279,6.81,4.85,35.1,30.12,4.98,Greater than 0,4.98,Category 4-5
295,6.68,6.27,28.6,28.51,0.09,Greater than 0,0.09,Category 0-1
373,4.91,34.77,13.8,0.75,13.05,Greater than 0,13.05,Greater than 7
15,5.83,8.47,19.9,22.83,-2.93,Less than 0,2.93,Category 2-3
377,6.79,21.24,13.3,19.16,-5.86,Less than 0,5.86,Category 5-7
49,5.6,16.2,19.4,16.54,2.86,Greater than 0,2.86,Category 2-3
313,6.27,7.9,21.6,25.37,-3.77,Less than 0,3.77,Category 3-4
273,7.69,6.58,35.2,33.37,1.83,Greater than 0,1.83,Category 1-2
420,6.41,15.02,16.7,21.37,-4.67,Less than 0,4.67,Category 4-5
318,6.38,10.36,23.1,24.31,-1.21,Less than 0,1.21,Category 1-2
27,6.05,17.28,14.8,18.05,-3.25,Less than 0,3.25,Category 3-4
379,6.22,21.78,10.2,15.95,-5.75,Less than 0,5.75,Category 5-7
17,5.99,14.67,17.5,19.5,-2.0,Less than 0,2.0,Category 2-3
106,5.84,18.66,19.5,16.08,3.42,Greater than 0,3.42,Category 3-4
71,5.96,9.88,21.7,22.53,-0.83,Less than 0,0.83,Category 0-1
